Date,Day,Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Press_max,Press_avg,Press_min,Precipit,day_of_week,Temp_avg_C,HDD,CDD,Date_encoded
2016-06-01,1,85,74.8,68,74,71.4,66,100,89.4,65,21,9.5,0,29.8,29.8,29.7,0.0,2,23.77777777777778,0.0,5.477777777777778,0
2016-06-02,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,21.77777777777778,0.0,3.477777777777778,1
2016-06-03,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,22.277777777777775,0.0,3.9777777777777743,2
2016-06-04,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,21.77777777777778,0.0,3.477777777777778,3
2016-06-05,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,23.22222222222222,0.0,4.922222222222221,4
2016-06-06,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,24.777777777777775,0.0,6.477777777777774,5
2016-06-07,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,26.444444444444443,0.0,8.144444444444442,6
2016-06-08,8,88,79.3,71,72,69.0,64,96,73.3,46,12,4.8,0,29.8,29.8,29.8,0.0,5,26.27777777777778,0.0,7.977777777777778,7
2016-06-09,9,88,79.2,72,74,69.9,65,100,75.3,49,15,6.7,0,29.8,29.8,29.8,0.0,1,26.22222222222222,0.0,7.922222222222221,8
2016-06-10,10,90,80.6,72,75,73.3,71,100,80.0,55,14,5.7,0,29.9,29.8,29.8,0.0,3,26.999999999999996,0.0,8.699999999999996,9
2016-06-11,11,90,82.0,75,77,75.0,73,96,79.8,59,13,5.4,0,29.9,29.9,29.9,0.0,6,27.77777777777778,0.0,9.477777777777778,10
2016-06-12,12,86,78.7,73,79,74.7,70,100,88.0,72,13,6.7,0,30.0,29.9,29.9,0.0,1,25.944444444444443,0.0,7.644444444444442,11
2016-06-13,13,93,82.5,73,79,75.1,72,100,80.0,54,13,5.0,0,29.9,29.8,29.7,2.11,0,28.055555555555557,0.0,9.755555555555556,12
2016-06-14,14,94,85.7,79,76,74.6,73,90,70.8,51,10,6.3,0,29.8,29.8,29.7,0.0,1,29.833333333333332,0.0,11.533333333333331,13
2016-06-15,15,95,85.2,78,77,74.4,70,93,72.3,46,12,6.1,0,29.9,29.8,29.8,0.0,2,29.555555555555557,0.0,11.255555555555556,14
2016-06-16,16,96,86.5,79,77,74.6,70,94,69.8,44,10,6.5,3,29.9,29.9,29.8,0.0,3,30.27777777777778,0.0,11.977777777777778,15
2016-06-17,17,95,85.8,79,78,75.1,71,90,71.9,47,14,5.1,0,29.9,29.8,29.8,0.0,4,29.88888888888889,0.0,11.588888888888889,16
2016-06-18,18,96,84.8,77,79,73.7,68,96,71.0,47,22,6.6,0,29.9,29.9,29.8,0.0,5,29.333333333333332,0.0,11.033333333333331,17
2016-06-19,19,90,82.3,74,73,71.5,69,91,71.1,52,12,5.8,0,30.0,30.0,29.9,0.0,6,27.944444444444443,0.0,9.644444444444442,18
2016-06-20,20,91,82.9,76,76,73.6,71,94,75.0,52,17,5.0,0,30.1,30.0,30.0,0.0,0,28.277777777777782,0.0,9.977777777777781,19
2016-06-21,21,92,82.7,76,76,73.9,72,94,76.1,52,18,4.1,0,30.0,30.0,29.9,0.0,1,28.166666666666668,0.0,9.866666666666667,20
2016-06-22,22,92,83.2,76,76,73.3,70,94,73.5,50,17,7.2,0,30.0,29.9,29.9,0.02,2,28.444444444444443,0.0,10.144444444444442,21
2016-06-23,23,92,83.8,74,73,71.0,69,93,66.9,47,14,6.0,0,30.0,29.9,29.9,0.0,3,28.77777777777778,0.0,10.477777777777778,22
2016-06-24,24,91,82.0,73,76,73.4,71,93,76.2,54,13,6.0,0,30.0,29.9,29.9,0.0,4,27.77777777777778,0.0,9.477777777777778,23
2016-06-25,25,91,83.1,76,79,74.7,72,97,76.7,59,17,4.9,0,30.0,29.9,29.9,0.0,5,28.388888888888886,0.0,10.088888888888885,24
2016-06-26,26,93,84.8,76,77,73.8,70,97,71.3,50,10,3.5,0,30.0,29.9,29.9,0.06,6,29.333333333333332,0.0,11.033333333333331,25
